frame_idx,track_id,x1,y1,x2,y2
2,1,214.5230299917434,245.54394863727583,242.4280427239333,307.4912524791315
2,2,297.4908877155758,201.60750738933265,324.06075621614923,275.2707358351704
2,3,432.8258970856554,156.6566367437697,455.26555124255725,229.8459279107415
2,4,64.65623385996392,240.78057481887217,95.11480137212993,300.7186903291373
2,5,193.2286151153424,152.2874763479721,207.62497477800525,204.93563594255224
2,6,5.963177316128752,162.68671826012235,29.40953880541916,217.95718306384816
2,7,306.07061512498154,68.48791477178412,314.58269169702095,93.30484829038603
2,8,279.47597939829444,72.19893463742399,288.52314237999417,99.80401132039147
2,9,125.50484569932364,80.83181643165307,132.87601667661116,107.86515430781368
2,10,123.1082456414685,122.41901300088078,136.12203222719307,160.1616471591011
2,12,33.847901473573245,91.85562126189915,44.37484235696935,129.793179917072
2,13,11.656839904547194,96.6234876044316,28.168450333121374,137.82506104187217
2,14,530.0315742645492,84.0331061414293,538.7423671939962,112.2622381546249
2,15,393.0776835395409,92.87254664023895,408.31344996308206,114.39663248808746
2,16,316.6663706080672,70.57919604613843,323.7438664863225,89.36608130584969
2,17,537.0973925417982,81.69536622618908,545.8888121863201,112.99474239198325
2,18,99.16197660314259,79.07425090643437,110.14611838332982,115.72854947669148
2,19,0.8088080312469064,79.95954913935907,6.225539258069217,120.47119614816563
2,20,504.6537752733756,75.773346498741,515.5010086722085,112.08393713154011
2,21,89.8910747910887,97.45515541982749,98.8540938084796,116.00882494129488
2,22,68.1240707420604,89.50496166437037,75.66937680455108,118.39501682101927
2,23,23.444961310013436,96.99007626494083,34.062873634194546,136.9196498927915
2,25,489.0479630340677,77.05403876364963,498.74699122980877,101.51998912719615
2,26,260.6236735958266,80.99756247324746,266.662196862051,102.11727231635712
2,27,113.00013255561636,84.42287709181396,122.1932464690106,113.67683575600377
2,28,47.12638994037944,94.50010699530945,61.37539988415563,124.97920444310651
2,32,257.2188720130567,80.80045927152983,266.49489538191625,113.03280071441516
2,37,84.89385689191406,97.49296293623858,91.12385736317141,115.9960194985911
2,38,80.1282410107539,88.31708827201997,87.6185048740742,116.54313975525194
2,39,-0.30666739130466425,210.04472131690164,25.944016609288,256.1964264900235
2,40,73.27969564985133,90.10876532857246,81.32186230976775,116.10485549074664
2,43,62.24415272598579,87.817162320167,72.96566261318664,123.57369347986722
2,46,62.219768089751526,91.39394871842508,70.2036974930676,123.94591629151864
2,47,218.27160885723018,150.35893823942178,237.41476249184603,176.24182598309844
2,48,489.33190002126616,76.88726173975877,499.1589558535685,111.00382536297441
2,50,347.4838563329487,85.23289937232029,355.4378880220224,96.80401223772857
3,1,215.28050864357846,245.38542856451178,243.26476883539368,307.47673509417905
3,2,301.2665711704391,202.80582147198805,327.2836845053108,275.31828665110714
3,3,432.78609047417257,156.08352045171603,455.19960359520576,228.9723382413271
3,4,65.0216751525333,240.36048232325103,94.9768876785192,299.419466980595
3,5,194.63184691636155,152.58684063798728,208.8519223290894,204.18114275488836
3,6,6.611817587817953,162.51907277939299,29.756201115072095,217.15028109559648
3,7,306.6252820024959,68.21950717306139,315.6164539726816,94.47007362917012
3,8,280.7113670688359,71.89187436886051,289.8795020197819,99.8013673590984
3,9,126.41206405083922,80.61466428468475,133.55000888479722,106.7005824936945
3,10,125.43206145504129,123.85800053760788,136.88536550510062,156.785467671238
3,12,34.637883439533404,91.5597298046933,45.100260435184595,129.05134773769305
3,13,12.213050450549117,94.91278964201526,29.11374013484769,137.17067338299256
3,14,530.4801877661931,82.40367436963784,539.5920675973621,112.2101546033261
