frame_idx,t,joint,x,y,conf
0,4.299270072992701,nose,8.874555202574332,54.14536950818025,0.9373860955238342
0,4.299270072992701,left_shoulder,11.24229004412336,60.77794470121607,0.8199324011802673
0,4.299270072992701,right_shoulder,4.550808201516674,61.09838373755481,0.948271632194519
0,4.299270072992701,left_elbow,2.5909105257215685,31.37174833146623,0.4118687808513641
0,4.299270072992701,right_elbow,4.371334974795625,69.65888651033791,0.8631500005722046
0,4.299270072992701,left_wrist,2.667357916444462,31.62554373635092,0.4023546576499939
0,4.299270072992701,right_wrist,9.335987367305185,64.63516841690114,0.7914965152740479
0,4.299270072992701,left_hip,9.550698130518157,77.29450319019756,0.8513849377632141
0,4.299270072992701,right_hip,5.316460008996055,77.34539925616927,0.9258164167404176
0,4.299270072992701,left_knee,6.636633767873811,90.07295644185815,0.817543089389801
0,4.299270072992701,right_knee,5.612605672992384,90.3845642322328,0.9060593247413636
0,4.299270072992701,left_ankle,5.075389284126105,101.74259779016934,0.5403231978416443
0,4.299270072992701,right_ankle,3.944124582452366,102.137020115915,0.6547601819038391
1,4.332600073326001,nose,8.735438125071632,54.259598980649066,0.8274441957473755
1,4.332600073326001,left_shoulder,10.468956109581026,60.813933216425326,0.7224011421203613
1,4.332600073326001,right_shoulder,4.166467420357737,61.1532729253855,0.922779381275177
1,4.332600073326001,left_elbow,1.7518619631631762,32.04505244050176,0.3992409706115722
1,4.332600073326001,right_elbow,3.859049987421553,69.54184000991943,0.8715229630470276
1,4.332600073326001,left_wrist,1.7989809493215594,32.26474754984986,0.445176750421524
1,4.332600073326001,right_wrist,8.853881722182436,65.0995674628198,0.8366340398788452
1,4.332600073326001,left_hip,9.382505781821248,76.73629086891592,0.8929114937782288
1,4.332600073326001,right_hip,5.454885909962846,76.83678963572054,0.9492636919021606
1,4.332600073326001,left_knee,6.843103277336603,88.64897517715129,0.8881479501724243
1,4.332600073326001,right_knee,5.640133709653503,89.03150897902447,0.9443569779396056
1,4.332600073326001,left_ankle,5.565331136328329,99.1914905485978,0.7250095009803772
1,4.332600073326001,right_ankle,4.337610382534718,99.66729777516156,0.805781900882721
2,4.3659300736593,nose,8.735438125071632,54.259598980649066,0.8274441957473755
2,4.3659300736593,left_shoulder,11.64293902013334,65.22132641477333,0.7167004942893982
2,4.3659300736593,right_shoulder,5.93795961295272,65.4481098533596,0.7487711310386658
2,4.3659300736593,left_elbow,4.447815222513525,64.34991349031662,0.6125528812408447
2,4.3659300736593,right_elbow,4.77892825545195,71.70312109993264,0.6762140989303589
2,4.3659300736593,left_wrist,4.43988217292436,67.31358704290425,0.5797129273414612
2,4.3659300736593,right_wrist,7.280211407978188,68.7507921554323,0.621614933013916
2,4.3659300736593,left_hip,10.254473410340328,78.2336645000091,0.9551177024841307
2,4.3659300736593,right_hip,6.788152258414179,78.28174382857881,0.9584519267082214
2,4.3659300736593,left_knee,8.116227415656818,88.60765498198064,0.9483578205108644
2,4.3659300736593,right_knee,6.906971733468088,88.8717489531943,0.9503175616264344
2,4.3659300736593,left_ankle,6.995906769605799,97.19273537797204,0.8987317681312561
2,4.3659300736593,right_ankle,5.823307500117105,97.52254433813128,0.89970862865448
3,4.565910075659101,nose,16.895211997733163,54.44406969803184,0.9530059695243835
3,4.565910075659101,left_shoulder,22.472014360886966,63.09350272434041,0.9714670181274414
3,4.565910075659101,right_shoulder,15.010594652255186,62.866666414557656,0.9898591637611388
3,4.565910075659101,left_elbow,27.091676471525105,69.9204494321893,0.8166006803512573
3,4.565910075659101,right_elbow,9.99101760263391,69.76458125314498,0.953183114528656
3,4.565910075659101,left_wrist,27.273439971788047,76.06146981881714,0.7794659733772278
3,4.565910075659101,right_wrist,14.45317333709583,71.2319945025434,0.9305762648582458
3,4.565910075659101,left_hip,21.65950828785633,79.30510226036802,0.9955638647079468
3,4.565910075659101,right_hip,17.857467520833907,79.06054324782335,0.9974690675735474
3,4.565910075659101,left_knee,21.02175700823732,92.98942835484266,0.99153733253479
3,4.565910075659101,right_knee,22.24046114249561,91.75565277850173,0.995194375514984
3,4.565910075659101,left_ankle,18.310542073062013,106.28420837439882,0.9511304497718812
3,4.565910075659101,right_ankle,18.90153482718754,103.32612930785176,0.9681587815284728
4,4.599240075992401,nose,19.966960162326945,54.32940010960608,0.8651936650276184
4,4.599240075992401,left_shoulder,25.096570777370083,62.32337652237274,0.9719234108924866
4,4.599240075992401,right_shoulder,18.269328672599872,62.19627930298438,0.9804584980010986
4,4.599240075992401,left_elbow,29.57506118627329,67.63613624961728,0.82795250415802
4,4.599240075992401,right_elbow,14.848533305390538,68.89311503498206,0.9007641077041626
4,4.599240075992401,left_wrist,29.570000362587898,71.56820646706149,0.7117369174957275
4,4.599240075992401,right_wrist,17.7426300413683,71.02745097810576,0.8313777446746826
4,4.599240075992401,left_hip,24.84982748775517,78.90303540192929,0.9925137162208556
4,4.599240075992401,right_hip,21.386392143647186,78.7327272919357,0.9943580031394958
4,4.599240075992401,left_knee,23.443702057904424,92.54712708581287,0.9860594868659972
4,4.599240075992401,right_knee,25.947466914030844,91.54544347498882,0.989302933216095
4,4.599240075992401,left_ankle,21.03328418358214,105.89470042390543,0.919915497303009
4,4.599240075992401,right_ankle,24.49531957014121,103.45959828779596,0.9342037439346312
